x,y,RSSIA,RSSIB,RSSIC,RP
0.55,0.64,47,33,54,A1
0.55,0.64,49,60,53,A1
0.55,0.64,45,49,58,A1
0.55,0.64,45,50,52,A1
0.55,0.64,49,49,58,A1
0.55,0.64,51,47,55,A1
0.55,0.64,55,46,51,A1
0.55,0.64,54,46,51,A1
0.55,0.64,53,48,50,A1
0.55,0.64,49,63,54,A1
0.55,0.64,49,51,51,A1
0.55,0.64,48,51,50,A1
0.55,0.64,48,49,48,A1
0.55,0.64,52,66,50,A1
0.55,0.64,49,49,62,A1
0.55,0.64,52,50,50,A1
0.55,0.64,49,50,63,A1
0.55,0.64,50,56,66,A1
0.55,0.64,55,51,54,A1
0.55,0.64,50,51,61,A1
0.55,0.64,52,53,59,A1
0.55,0.64,53,52,52,A1
0.55,0.64,46,49,55,A1
0.55,0.64,50,48,52,A1
0.55,0.64,47,49,54,A1
0.55,0.64,54,45,54,A1
0.55,0.64,54,46,56,A1
0.55,0.64,50,49,54,A1
0.55,0.64,54,47,57,A1
0.55,0.64,52,46,53,A1
0.55,0.64,53,47,53,A1
0.55,0.64,52,45,54,A1
0.55,0.64,51,64,48,A1
0.55,0.64,51,63,53,A1
0.55,0.64,52,53,52,A1
0.55,0.64,50,57,53,A1
0.55,0.64,55,48,47,A1
0.55,0.64,53,46,50,A1
0.55,0.64,51,46,48,A1
0.55,0.64,56,49,52,A1
0.55,0.64,55,45,48,A1
0.55,0.64,53,47,50,A1
0.55,0.64,53,46,46,A1
1.66,0.64,50,47,54,A4
1.66,0.64,45,48,54,A4
1.66,0.64,46,48,49,A4
1.66,0.64,49,49,49,A4
1.66,0.64,49,44,51,A4
1.66,0.64,50,45,59,A4
1.66,0.64,48,45,58,A4
1.66,0.64,46,44,62,A4
1.66,0.64,48,38,55,A4
1.66,0.64,50,44,62,A4
1.66,0.64,52,43,58,A4
1.66,0.64,47,45,51,A4
1.66,0.64,48,45,56,A4
1.66,0.64,50,45,56,A4
1.66,0.64,52,46,56,A4
1.66,0.64,46,45,56,A4
1.66,0.64,47,45,56,A4
1.66,0.64,45,45,56,A4
1.66,0.64,45,48,56,A4
1.66,0.64,43,47,56,A4
1.66,0.64,45,48,56,A4
1.66,0.64,46,47,56,A4
1.66,0.64,48,48,56,A4
1.66,0.64,49,46,56,A4
1.66,0.64,48,47,56,A4
1.66,0.64,45,45,56,A4
1.66,0.64,47,48,56,A4
1.66,0.64,51,46,56,A4
1.66,0.64,52,45,56,A4
1.66,0.64,51,48,56,A4
1.66,0.64,46,46,56,A4
2.77,0.64,48,50,44,B3
2.77,0.64,51,45,44,B3
2.77,0.64,48,46,40,B3
2.77,0.64,49,44,59,B3
2.77,0.64,49,44,44,B3
2.77,0.64,52,45,40,B3
2.77,0.64,52,45,41,B3
2.77,0.64,46,48,34,B3
2.77,0.64,45,44,34,B3
2.77,0.64,46,43,34,B3
2.77,0.64,46,42,34,B3
2.77,0.64,44,43,35,B3
2.77,0.64,57,45,36,B3
2.77,0.64,52,45,36,B3
2.77,0.64,52,38,38,B3
2.77,0.64,53,45,34,B3
3.88,0.64,52,52,52,C2
3.88,0.64,54,54,59,C2
3.88,0.64,53,57,50,C2
3.88,0.64,54,55,53,C2
3.88,0.64,51,57,50,C2
3.88,0.64,57,58,56,C2
3.88,0.64,55,58,59,C2
3.88,0.64,51,52,38,C2
3.88,0.64,50,51,38,C2
3.88,0.64,56,52,38,C2
3.88,0.64,50,52,38,C2
3.88,0.64,50,51,38,C2
3.88,0.64,50,49,38,C2
3.88,0.64,53,50,38,C2
3.88,0.64,52,48,38,C2
3.88,0.64,52,49,38,C2
3.88,0.64,54,52,38,C2
3.88,0.64,53,56,38,C2
3.88,0.64,55,55,38,C2
3.88,0.64,55,61,38,C2
3.88,0.64,54,57,38,C2
3.88,0.64,54,58,38,C2
3.88,1.9,54,40,43,C3
3.88,1.9,52,51,45,C3
3.88,1.9,51,55,34,C3
3.88,1.9,51,56,43,C3
3.88,1.9,50,56,33,C3
3.88,1.9,50,52,34,C3
3.88,1.9,51,53,34,C3
3.88,1.9,51,51,34,C3
3.88,1.9,51,52,35,C3
3.88,1.9,53,48,34,C3
3.88,1.9,52,50,36,C3
3.88,1.9,52,48,34,C3
3.88,1.9,50,53,34,C3
3.88,1.9,52,53,34,C3
3.88,1.9,52,46,33,C3
3.88,1.9,52,46,33,C3
3.88,1.9,51,47,38,C3
3.88,1.9,51,48,40,C3
3.88,1.9,55,46,40,C3
2.77,1.9,45,49,48,B4
2.77,1.9,45,48,62,B4
2.77,1.9,44,50,56,B4
2.77,1.9,44,50,56,B4
2.77,1.9,46,47,49,B4
2.77,1.9,47,51,57,B4
2.77,1.9,47,50,51,B4
2.77,1.9,44,45,62,B4
2.77,1.9,44,53,50,B4
2.77,1.9,44,52,51,B4
2.77,1.9,44,49,48,B4
2.77,1.9,44,50,44,B4
2.77,1.9,44,50,44,B4
2.77,1.9,45,51,46,B4
2.77,1.9,54,50,51,B4
2.77,1.9,51,49,53,B4
2.77,1.9,50,50,51,B4
2.77,1.9,54,49,50,B4
2.77,1.9,51,46,52,B4
2.77,1.9,50,49,64,B4
2.77,1.9,49,50,51,B4
2.77,1.9,44,50,51,B4
2.77,1.9,41,51,51,B4
2.77,1.9,44,49,52,B4
1.66,1.9,41,57,42,B1
1.66,1.9,46,54,48,B1
1.66,1.9,46,53,42,B1
1.66,1.9,42,47,48,B1
1.66,1.9,49,52,46,B1
1.66,1.9,48,51,49,B1
1.66,1.9,42,57,47,B1
1.66,1.9,43,60,50,B1
1.66,1.9,42,50,55,B1
1.66,1.9,43,58,55,B1
1.66,1.9,47,52,55,B1
1.66,1.9,41,53,55,B1
1.66,1.9,46,53,55,B1
1.66,1.9,38,46,55,B1
1.66,1.9,42,52,55,B1
1.66,1.9,41,48,55,B1
1.66,1.9,45,54,55,B1
1.66,1.9,37,59,55,B1
1.66,1.9,37,59,55,B1
1.66,1.9,37,56,55,B1
1.66,1.9,38,56,55,B1
3.88,3.17,47,60,46,C4
3.88,3.17,48,66,45,C4
3.88,3.17,49,57,49,C4
3.88,3.17,48,59,45,C4
3.88,3.17,49,58,49,C4
3.88,3.17,45,60,48,C4
3.88,3.17,45,65,51,C4
3.88,3.17,46,65,48,C4
3.88,3.17,45,65,50,C4
3.88,3.17,48,48,46,C4
3.88,3.17,44,64,47,C4
3.88,3.17,47,63,50,C4
3.88,3.17,45,63,50,C4
3.88,3.17,48,58,48,C4
3.88,3.17,47,60,49,C4
3.88,3.17,48,49,46,C4
3.88,3.17,46,49,49,C4
3.88,3.17,47,65,50,C4
3.88,3.17,47,49,47,C4
3.88,3.17,48,47,48,C4
3.88,3.17,46,58,49,C4
3.88,3.17,47,57,46,C4
3.88,3.17,49,58,51,C4
3.88,3.17,49,59,51,C4
3.88,3.17,53,60,51,C4
3.88,3.17,48,57,51,C4
3.88,3.17,47,58,51,C4
3.88,3.17,48,48,51,C4
3.88,3.17,52,61,51,C4
2.77,3.17,42,68,53,C1
2.77,3.17,41,65,58,C1
2.77,3.17,41,65,61,C1
2.77,3.17,41,57,56,C1
2.77,3.17,41,55,53,C1
2.77,3.17,38,54,68,C1
2.77,3.17,40,55,55,C1
2.77,3.17,41,49,54,C1
2.77,3.17,39,53,56,C1
2.77,3.17,41,54,56,C1
2.77,3.17,40,55,55,C1
2.77,3.17,40,57,54,C1
2.77,3.17,40,63,56,C1
2.77,3.17,41,66,52,C1
2.77,3.17,44,65,61,C1
2.77,3.17,42,65,62,C1
2.77,3.17,42,65,53,C1
2.77,3.17,39,63,54,C1
2.77,3.17,44,63,52,C1
2.77,3.17,40,61,64,C1
2.77,3.17,43,61,58,C1
2.77,3.17,38,60,63,C1
2.77,3.17,45,59,53,C1
2.77,3.17,40,60,63,C1
2.77,3.17,45,60,65,C1
2.77,3.17,42,60,59,C1
1.66,3.17,38,62,41,B2
1.66,3.17,41,58,41,B2
1.66,3.17,40,56,41,B2
1.66,3.17,38,64,41,B2
1.66,3.17,42,62,41,B2
1.66,3.17,38,59,41,B2
1.66,3.17,39,56,41,B2
1.66,3.17,41,62,41,B2
1.66,3.17,40,63,41,B2
1.66,3.17,40,55,41,B2
1.66,3.17,37,62,41,B2
1.66,3.17,41,60,41,B2
1.66,3.17,37,59,41,B2
1.66,3.17,38,60,41,B2
1.66,3.17,40,61,41,B2
0.55,3.17,43,57,39,A3
0.55,3.17,40,52,37,A3
0.55,3.17,39,58,37,A3
0.55,3.17,39,59,36,A3
0.55,3.17,42,57,40,A3
0.55,3.17,42,49,44,A3
0.55,3.17,40,59,40,A3
0.55,3.17,41,62,44,A3
0.55,3.17,42,60,44,A3
0.55,3.17,42,63,47,A3
0.55,3.17,40,62,56,A3
0.55,3.17,40,61,54,A3
0.55,3.17,41,60,51,A3
0.55,3.17,40,63,51,A3
0.55,3.17,40,53,51,A3
0.55,3.17,41,62,51,A3
0.55,3.17,42,53,51,A3
0.55,3.17,41,53,51,A3
0.55,3.17,40,57,51,A3
0.55,3.17,40,57,51,A3
0.55,3.17,40,55,51,A3
0.55,3.17,41,55,51,A3
0.55,3.17,41,49,51,A3
0.55,3.17,41,58,51,A3
0.55,3.17,40,58,51,A3
0.55,3.17,40,57,51,A3
0.55,3.17,43,54,51,A3
0.55,3.17,40,45,51,A3
0.55,3.17,41,46,51,A3
0.55,1.9,42,66,43,A2
0.55,1.9,41,66,41,A2
0.55,1.9,43,66,41,A2
0.55,1.9,42,63,43,A2
0.55,1.9,42,65,41,A2
0.55,1.9,42,65,41,A2
0.55,1.9,42,64,43,A2
0.55,1.9,42,64,40,A2
0.55,1.9,47,53,41,A2
0.55,1.9,46,54,40,A2
0.55,1.9,46,53,40,A2
0.55,1.9,40,51,41,A2
0.55,1.9,41,51,40,A2
0.55,1.9,41,51,39,A2
0.55,1.9,42,52,41,A2
0.55,1.9,44,50,39,A2
0.55,1.9,43,49,39,A2
0.55,1.9,38,49,39,A2
0.55,1.9,38,49,39,A2
0.55,0.64,53,43,60,A1
0.55,0.64,53,43,60,A1
0.55,0.64,52,44,54,A1
0.55,0.64,52,44,54,A1
0.55,0.64,56,43,55,A1
0.55,0.64,56,43,55,A1
0.55,0.64,56,44,63,A1
0.55,0.64,56,44,63,A1
0.55,0.64,53,50,63,A1
0.55,0.64,53,50,63,A1
0.55,0.64,51,59,63,A1
0.55,0.64,51,59,63,A1
0.55,0.64,50,48,63,A1
0.55,0.64,50,48,63,A1
0.55,0.64,54,42,63,A1
0.55,0.64,54,42,63,A1
0.55,0.64,59,42,63,A1
0.55,0.64,59,42,63,A1
0.55,0.64,53,41,63,A1
0.55,0.64,53,41,63,A1
0.55,0.64,54,45,63,A1
0.55,0.64,54,45,63,A1
0.55,0.64,53,44,63,A1
0.55,0.64,53,44,63,A1
0.55,0.64,55,44,63,A1
0.55,0.64,55,44,63,A1
0.55,0.64,55,42,63,A1
0.55,0.64,55,42,63,A1
0.55,0.64,55,40,63,A1
0.55,0.64,55,40,63,A1
0.55,0.64,56,42,63,A1
0.55,0.64,56,42,63,A1
0.55,0.64,55,42,63,A1
0.55,0.64,55,42,63,A1
0.55,0.64,53,42,63,A1
0.55,0.64,53,42,63,A1
0.55,0.64,55,44,63,A1
0.55,0.64,55,44,63,A1
0.55,0.64,54,42,63,A1
0.55,0.64,54,42,63,A1
0.55,0.64,54,40,63,A1
0.55,0.64,54,40,63,A1
0.55,0.64,54,42,63,A1
0.55,0.64,54,42,63,A1
0.55,0.64,54,42,63,A1
0.55,0.64,54,42,63,A1
0.55,0.64,54,42,63,A1
0.55,0.64,54,42,63,A1
0.55,0.64,56,42,63,A1
0.55,0.64,56,42,63,A1
0.55,0.64,55,46,63,A1
0.55,0.64,55,46,63,A1
0.55,0.64,54,43,63,A1
0.55,0.64,54,43,63,A1
0.55,0.64,54,41,63,A1
0.55,0.64,54,41,63,A1
0.55,0.64,55,44,63,A1
0.55,0.64,55,44,63,A1
0.55,0.64,56,46,63,A1
0.55,0.64,56,46,63,A1
0.55,0.64,56,44,63,A1
0.55,0.64,56,44,63,A1
0.55,0.64,55,45,63,A1
0.55,0.64,55,45,63,A1
0.55,0.64,56,43,63,A1
0.55,0.64,56,43,63,A1
0.55,0.64,55,42,63,A1
0.55,0.64,55,42,63,A1
0.55,0.64,55,43,63,A1
0.55,0.64,55,43,63,A1
0.55,0.64,54,45,63,A1
0.55,0.64,54,45,63,A1
0.55,0.64,54,43,63,A1
0.55,0.64,54,43,63,A1
0.55,0.64,55,45,63,A1
0.55,0.64,55,45,63,A1
0.55,0.64,53,42,63,A1
0.55,0.64,53,42,63,A1
0.55,0.64,55,45,63,A1
0.55,0.64,55,45,63,A1
0.55,0.64,55,43,63,A1
0.55,0.64,55,43,63,A1
0.55,1.9,49,61,66,A2
0.55,1.9,49,61,66,A2
0.55,1.9,48,58,65,A2
0.55,1.9,48,58,65,A2
0.55,1.9,46,59,67,A2
0.55,1.9,46,59,67,A2
0.55,1.9,50,51,60,A2
0.55,1.9,50,51,60,A2
0.55,1.9,51,54,65,A2
0.55,1.9,51,54,65,A2
0.55,1.9,44,54,68,A2
0.55,1.9,44,54,68,A2
0.55,1.9,44,51,64,A2
0.55,1.9,44,51,64,A2
0.55,1.9,46,54,57,A2
0.55,1.9,46,54,57,A2
0.55,1.9,51,50,61,A2
0.55,1.9,51,50,61,A2
0.55,1.9,49,56,56,A2
0.55,1.9,49,56,56,A2
0.55,1.9,51,56,56,A2
0.55,1.9,51,56,56,A2
0.55,1.9,50,59,57,A2
0.55,1.9,50,59,57,A2
0.55,1.9,51,53,57,A2
0.55,1.9,51,53,57,A2
0.55,1.9,49,52,65,A2
0.55,1.9,49,52,65,A2
0.55,1.9,49,54,63,A2
0.55,1.9,49,54,63,A2
0.55,1.9,44,53,66,A2
0.55,1.9,44,53,66,A2
0.55,1.9,51,56,59,A2
0.55,1.9,51,56,59,A2
0.55,1.9,43,56,61,A2
0.55,1.9,43,56,61,A2
0.55,1.9,46,54,64,A2
0.55,1.9,46,54,64,A2
0.55,1.9,49,55,59,A2
0.55,1.9,49,55,59,A2
0.55,1.9,44,52,64,A2
0.55,1.9,44,52,64,A2
0.55,1.9,49,56,59,A2
0.55,1.9,49,56,59,A2
0.55,1.9,47,56,68,A2
0.55,1.9,47,56,68,A2
0.55,1.9,47,56,65,A2
0.55,1.9,47,56,65,A2
0.55,1.9,47,56,59,A2
0.55,1.9,47,56,59,A2
0.55,1.9,48,55,68,A2
0.55,1.9,48,55,68,A2
0.55,1.9,47,57,67,A2
0.55,1.9,47,57,67,A2
0.55,1.9,47,56,67,A2
0.55,1.9,47,56,67,A2
0.55,1.9,46,61,67,A2
0.55,1.9,46,61,67,A2
0.55,1.9,45,63,56,A2
0.55,1.9,45,63,56,A2
0.55,1.9,47,62,68,A2
0.55,1.9,47,62,68,A2
0.55,1.9,49,59,57,A2
0.55,1.9,49,59,57,A2
0.55,1.9,47,62,65,A2
0.55,1.9,47,62,65,A2
0.55,1.9,48,55,66,A2
0.55,1.9,48,55,66,A2
0.55,1.9,47,54,62,A2
0.55,1.9,47,54,62,A2
0.55,1.9,47,53,58,A2
0.55,1.9,47,53,58,A2
0.55,1.9,47,51,64,A2
0.55,1.9,47,51,64,A2
0.55,3.17,43,55,66,A3
0.55,3.17,43,55,66,A3
1.66,3.17,40,59,42,B2
1.66,3.17,40,59,42,B2
1.66,3.17,43,49,50,B2
1.66,3.17,43,49,50,B2
1.66,3.17,43,46,51,B2
1.66,3.17,43,46,51,B2
1.66,3.17,42,51,46,B2
1.66,3.17,42,51,46,B2
1.66,3.17,42,46,50,B2
1.66,3.17,42,46,50,B2
1.66,3.17,42,50,50,B2
1.66,3.17,42,50,50,B2
1.66,3.17,41,50,52,B2
1.66,3.17,41,50,52,B2
1.66,3.17,42,49,51,B2
1.66,3.17,42,49,51,B2
1.66,3.17,41,49,46,B2
1.66,3.17,41,49,46,B2
1.66,3.17,41,49,50,B2
1.66,3.17,41,49,50,B2
1.66,3.17,43,50,53,B2
1.66,3.17,43,50,53,B2
1.66,3.17,41,50,46,B2
1.66,3.17,41,50,46,B2
1.66,3.17,42,49,49,B2
1.66,3.17,42,49,49,B2
1.66,3.17,40,50,49,B2
1.66,3.17,40,50,49,B2
1.66,3.17,41,50,46,B2
1.66,3.17,41,50,46,B2
1.66,3.17,42,51,46,B2
1.66,3.17,42,51,46,B2
1.66,3.17,43,52,50,B2
1.66,3.17,43,52,50,B2
1.66,3.17,41,51,50,B2
1.66,3.17,41,51,50,B2
1.66,3.17,42,52,50,B2
1.66,3.17,42,52,50,B2
1.66,3.17,42,51,50,B2
1.66,3.17,42,51,50,B2
1.66,3.17,42,52,50,B2
1.66,3.17,42,52,50,B2
1.66,3.17,40,53,48,B2
1.66,3.17,40,53,48,B2
1.66,3.17,42,51,50,B2
1.66,3.17,42,51,50,B2
2.77,3.17,49,63,58,C1
2.77,3.17,49,63,58,C1
2.77,3.17,47,54,66,C1
2.77,3.17,47,54,66,C1
2.77,3.17,50,50,62,C1
2.77,3.17,50,50,62,C1
2.77,3.17,54,51,64,C1
2.77,3.17,54,51,64,C1
2.77,3.17,50,51,63,C1
2.77,3.17,50,51,63,C1
2.77,3.17,50,51,62,C1
2.77,3.17,50,51,62,C1
2.77,3.17,54,50,68,C1
2.77,3.17,54,50,68,C1
2.77,3.17,55,51,63,C1
2.77,3.17,55,51,63,C1
2.77,3.17,55,51,62,C1
2.77,3.17,55,51,62,C1
2.77,3.17,48,51,62,C1
2.77,3.17,48,51,62,C1
